"country","debt_id","portfolio_id","collector","comm_target","debt_age","age_bucket","sector","client_name","d_status","paying_accs","new_accs","debt_original_amount"
"Trinidad","6916501.T","103","Krishandai","66315","14.36","Over 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Paying","Not New","69535.40"
"Trinidad","6916508.T","103","Krishandai","66315","9.53","5 - 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","19445.70"
"Trinidad","6916723.T","103","Krishandai","66315","6.63","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","25118.40"
"Trinidad","6916803.T","103","Krishandai","66315",,"Unknown","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","55506.40"
"Trinidad","6917009.T","103","Krishandai","66315","33.16","Over 10 yrs","Banking","ASCENDANCY - SCOTIABANK","Active","Non-paying","Not New","45885.40"
"Trinidad","6917444.T","103","Krishandai","66315",,"Unknown","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Non-paying","Not New","11215.40"
"Trinidad","6917553.T","103","Krishandai","66315","8.13","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","15773.10"
"Trinidad","6917656.T","103","Krishandai","66315","7.24","5 - 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","49571.30"
"Trinidad","6917824.T","103","Krishandai","66315","6.27","5 - 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","20275.00"
"Trinidad","6918138.T","103","Krishandai","66315",,"Unknown","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","Active","Paying","Not New","47668.60"
"Trinidad","6918642.T","103","Krishandai","66315","7.16","5 - 10 yrs","Other","MASSY MOTORS LTD","Active","Paying","Not New","173505.00"
"Trinidad","6918677.T","103","Krishandai","66315",,"Unknown","Banking","ASCENDANCY - SCOTIABANK","Active","Paying","Not New","85901.90"
"Trinidad","6918703.T","103","Krishandai","66315","19.97","Over 10 yrs","Finance","NATIONAL ENTREPRENEURSHIP DEVELOPMENT CO HEAD OFFICE (NEDCO)","Active","Non-paying","Not New","34062.90"
"Trinidad","6918736.T","103","Krishandai","66315","7.77","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","4802.15"
"Trinidad","6919015.T","103","Krishandai","66315","6.50","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","27998.30"
"Trinidad","6919038.T","103","Krishandai","66315",,"Unknown","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","7510.43"
"Trinidad","6919331.T","103","Krishandai","66315","10.39","Over 10 yrs","Banking","FIRST CITIZENS BANK (CANAAN TOBAGO)","Active","Non-paying","Not New","23869.60"
